,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
6404,MX World Tour Featuring Jamie Little,XB,2005,Racing,Crave Entertainment,0.03,0.01,0,0
6405,Sentou Kokka Air Land Battle,PS,1995,Strategy,Sony Computer Entertainment,0,0,0.13,0.01
6406,Godzilla Unleashed: Double Smash,DS,2007,Action,Atari,0.11,0,0,0.01
6407,Final Fantasy XI: Rise of the Zilart,PS2,2003,Role-Playing,Square Enix,0,0,0.13,0
6408,Puzzle City,DS,2009,Puzzle,Destineer,0.02,0,0,0
6409,Girls RPG: Cinderellife,3DS,2012,Role-Playing,Level 5,0,0,0.06,0
6410,Puyo Pop Fever,GC,2004,Puzzle,Sega,0.01,0,0,0
6411,Hooked! Real Motion Fishing,Wii,2007,Sports,505 Games,0.21,0,0,0.02
6412,Best Friends Tonight,DS,2010,Misc,Ubisoft,0.03,0,0,0
6413,428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,Sega,0,0,0.13,0
6414,Sushi Academy,DS,2009,Action,DTP Entertainment,0.08,0,0,0.01
6415,Winning Post,SNES,1993,Sports,Tecmo Koei,0,0,0.53,0
6416,Power Pro Kun Pocket 13,DS,2010,Sports,Konami Digital Entertainment,0,0,0.13,0
6417,Kirby Tilt 'n' Tumble,GB,2000,Puzzle,Nintendo,0.29,0.17,0.75,0.02
6418,The Legend of Zelda: Oracle of Ages,GB,2001,Action,Nintendo,0.92,0.53,0.41,0.06
6419,Banjo-Pilot,GBA,2005,Racing,THQ,0.07,0.03,0,0
6420,Rocky,GC,2002,Fighting,Rage Software,0.07,0.02,0,0
6421,Championship Surfer,PS,2000,Sports,Mattel Interactive,0.03,0.02,0,0
6422,My Friends,DS,2009,Misc,Oxygen Interactive,0.07,0,0,0.01
6423,CyberTiger,PS,1998,Sports,Electronic Arts,0.33,0.22,0,0.04
6424,Hisshou Pachinko*Pachi-slot Kouryaku Series DS Vol. 3: Shinseiki Evangelion - Yakusoku no Toki,DS,2008,Misc,D3Publisher,0,0,0.03,0
6425,Hakuoki: Stories of the Shinsengumi,PS3,2010,Adventure,Idea Factory,0.02,0,0.03,0
6426,World Snooker Championship 2007,X360,2007,Sports,Sega,0,0.01,0,0
6427,Babysitting Mama,Wii,2010,Simulation,505 Games,0.34,0.12,0,0.04
6428,Tactics Ogre: The Knight of Lodis,GBA,2001,Role-Playing,Nintendo,0.13,0.05,0.31,0.01
6429,Crash Bandicoot: The Huge Adventure,GBA,2002,Platform,Universal Interactive,0.95,0.7,0,0.08
6430,NCAA Football 99,PS,1998,Sports,Electronic Arts,0.59,0.4,0,0.07
6431,Jikkyou Powerful Pro Yakyuu Next,Wii,2009,Sports,Konami Digital Entertainment,0,0,0.08,0
6432,Fullmetal Alchemist and the Broken Angel,PS2,2003,Role-Playing,Square Enix,0.15,0.12,0.26,0.04
6433,Tokobot,PSP,2005,Platform,Take-Two Interactive,0.06,0,0,0.01
6434,Derby Stallion 04,PS2,2004,Sports,Enterbrain,0,0,0.55,0
6435,FIFA: Road to  World Cup 98,N64,1997,Sports,Electronic Arts,0.15,0.39,0,0.03
6436,Rodea the Sky Soldier,WiiU,2015,Action,Nippon Ichi Software,0.08,0.02,0.01,0.01
6437,Osu! Tatakae! Ouendan,DS,2005,Misc,Nintendo,0,0,0.06,0
6438,Orcs & Elves,DS,2007,Role-Playing,Electronic Arts,0.06,0,0,0.01
6439,Barbie Explorer,PS,2001,Platform,Vivendi Games,0.08,0.05,0,0.01
6440,Avatar: The Last Airbender - Into the Inferno,DS,2008,Adventure,THQ,0.11,0.01,0,0.01
6441,The Movies,PC,2005,Simulation,Activision,0.01,0.03,0,0.01
6442,Disney Stitch Jam,DS,2009,Misc,Disney Interactive Studios,0.08,0,0.16,0
6443,Yanya Caballista: City Skater,PS2,2001,Sports,Tecmo Koei,0.02,0.02,0,0.01
6444,Kuroshitsuji: Phantom & Ghost,DS,2009,Action,Square Enix,0,0,0.04,0
6445,Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,PSP,2011,Adventure,Idea Factory,0,0,0.04,0
6446,Kirby's Adventure,NES,1993,Platform,Nintendo,0.79,0.14,0.8,0.02
6447,N3 II: Ninety-Nine Nights,X360,2010,Action,Microsoft Game Studios,0.06,0.07,0.04,0.01
6448,Musou Orochi Z,PS3,2009,Action,Tecmo Koei,0,0,0.23,0
6449,Tales of Eternia,PSP,2005,Role-Playing,Ubisoft,0,0.01,0.25,0.01
6450,Ookami to Koushinryou: Omiowataru Kaze,DS,2009,Adventure,ASCII Media Works,0,0,0.02,0
6451,Nobunaga's Ambition II,3DS,2015,Strategy,Tecmo Koei,0,0,0.04,0
6452,Densetsu no Stafi 3,GBA,2004,Platform,Nintendo,0,0,0.23,0.01
6453,World Class Track Meet,NES,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07
6454,Draglade,DS,2007,Fighting,505 Games,0.09,0,0,0.01
6455,Company of Heroes: Opposing Fronts,PC,2007,Strategy,THQ,0.01,0.03,0,0.01
6456,Online Chess Kingdoms,PSP,2006,Misc,Konami Digital Entertainment,0.01,0,0,0
6457,Gyakuten Saiban 3,GBA,2004,Adventure,Capcom,0,0,0.16,0
6458,All Kamen Rider: Rider Generation 2,PSP,2012,Action,Namco Bandai Games,0,0,0.06,0
6459,Sprung - A Game Where Everyone Scores,DS,2004,Adventure,Ubisoft,0.06,0,0,0
6460,Neverwinter Nights Diamond,PC,2004,Role-Playing,Atari,0,0.02,0,0
6461,Wreckin Crew,PS,1998,Racing,Telstar,0.05,0.03,0,0.01
6462,Disney Channel Collection Vol. 1,GBA,2004,Misc,Majesco Entertainment,0.08,0.03,0,0
6463,Gears of War,PC,2007,Shooter,Microsoft Game Studios,0,0.01,0,0
6464,Super R-Type,SNES,1991,Shooter,Nintendo,0,0,0.23,0
6465,Baseball Advance,GBA,2002,Sports,Sega,0.1,0.04,0,0
6466,Combat: Task Force 121,XB,2005,Shooter,Zoo Digital Publishing,0.05,0.02,0,0
6467,Shovel Knight,3DS,2015,Platform,Yacht Club Games,0.07,0.04,0.01,0.01
6468,Soccer Tsuku DS: World Challenge 2010,DS,2010,Sports,Sega,0,0,0.13,0
6469,Winning Post World 2010,PS3,2010,Sports,Tecmo Koei,0,0,0.04,0
6470,Doraemon: Nobita no Kyouryuu 2006 DS,DS,2006,Role-Playing,Sega,0,0,0.05,0
6471,Robots,PS2,2005,Action,Vivendi Games,0.18,0.14,0,0.05
6472,EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,Sony Online Entertainment,0.09,0.07,0,0.02
6473,The Lost Vikings,GBA,2003,Puzzle,Activision,0.04,0.01,0,0
6474,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19
6475,Chocobo's Dungeon 2,PS,1998,Role-Playing,SquareSoft,0.04,0.03,0.58,0.05
6476,Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006,Action,Disney Interactive Studios,0.15,0,0,0.01
6477,Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,1.48,0.39,0,0.06
6478,Planetarian: Chiisana Hoshi no Yume,PSP,2009,Adventure,Prototype,0,0,0.02,0
6479,SingStar Mallorca Party,PS3,2009,Misc,Sony Computer Entertainment,0,0.04,0,0.02
6480,Ceville,PC,2009,Action,Kalypso Media,0,0.02,0,0
6481,MLB Power Pros,Wii,2007,Sports,Konami Digital Entertainment,0.23,0,0.04,0.02
6482,Nayuta no Kiseki,PSP,2012,Action,Nihon Falcom Corporation,0,0,0.14,0
6483,DiRT Showdown,X360,2012,Racing,Codemasters,0.08,0.14,0,0.02
6484,MotionSports: Adrenaline,X360,2011,Sports,Ubisoft,0.14,0.1,0,0.03
6485,Jampack Volume 12,PS2,2005,Misc,Sony Computer Entertainment,0.15,0.12,0,0.04
6486,Tail Concerto,PS,1998,Adventure,Namco Bandai Games,0.02,0.01,0,0
6487,Jissen Pachi-Slot Hisshouhou,SNES,1993,Misc,Sammy Corporation,0,0,0.19,0
6488,Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04
6489,Alia's Carnival! Sacrament,PSV,2015,Adventure,dramatic create,0,0,0.03,0
6490,BattleTanx: Global Assault,N64,1999,Action,3DO,0.31,0.07,0,0
6491,Pac-Man All-Stars,PS3,2011,Fighting,Namco Bandai Games,0.2,0.08,0.04,0.04
6492,MX vs. ATV: Alive,X360,2011,Racing,THQ,0.37,0.14,0,0.05
6493,Railroad Tycoon II,PS,1999,Strategy,PopTop Software,0.06,0.04,0,0.01
6494,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2,0.09,0.83
6495,Fatal Frame 2: Wii Edition,Wii,2012,Action,Nintendo,0,0,0.1,0
6496,Arkanoid DS,DS,2007,Puzzle,Square Enix,0.06,0,0,0
6497,Jampack Winter 2000,PS,2000,Misc,Sony Computer Entertainment,0.55,0.38,0,0.07
6498,Bionicle: Matoran Adventures,GBA,2002,Platform,Electronic Arts,0.18,0.07,0,0
6499,Super Robot Monkey Team: Game Boy Advance Video Volume 1,GBA,2005,Misc,Majesco Entertainment,0.01,0,0,0
6500,TV Show King Party,Wii,2008,Puzzle,Ubisoft,0.18,0.41,0,0.08
6501,Viva Pinata,PC,2007,Simulation,Microsoft Game Studios,0,0.02,0,0
6502,Spyro: Season of Ice,GBA,2001,Platform,Vivendi Games,1.29,0.83,0,0.11
6503,Star Wars Episode 1: Jedi Power Battles,PS,1999,Action,LucasArts,0.66,0.48,0.01,0.06
6504,Dragon Ball Heroes: Ultimate Mission 2,3DS,2014,Strategy,Namco Bandai Games,0,0,0.31,0
6505,Super Real Mahjong Graffiti,SAT,1995,Misc,Seta Corporation,0,0,0.07,0
6506,"Warhammer 40,000: Dawn of War: Soulstorm",PC,2008,Strategy,THQ,0,0.02,0,0
6507,Re-Volt,N64,1999,Racing,Acclaim Entertainment,0.14,0.04,0,0
6508,Match 3 Madness,DS,2010,Puzzle,Foreign Media Games,0,0.05,0,0.01
6509,Crazy Chicken: Star Karts,DS,2008,Racing,Phenomedia,0.03,0,0,0
6510,Wii de Asobu: Metroid Prime,Wii,2002,Shooter,Nintendo,0,0,0.02,0
6511,Elvandia Story,PS2,2007,Role-Playing,Spike,0,0,0.02,0
6512,Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,PS3,2011,Strategy,Nippon Ichi Software,0,0,0.03,0
6513,Super Street Fighter IV: 3D Edition,3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09
6514,Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft,0.21,0.11,0,0.01
6515,Wallace & Gromit: Curse of the Were-Rabbit,PS2,2005,Adventure,Konami Digital Entertainment,0.06,0.05,0,0.02
6516,Crime Crackers,PS,1994,Role-Playing,Sony Computer Entertainment,0,0,0.09,0.01
6517,Kirby: Canvas Curse,DS,2005,Platform,Nintendo,0.37,0,0.32,0.04
6518,G1 Jockey 3,PS2,2002,Sports,THQ,0.02,0.01,0.07,0
6519,Motocross Mania 3,XB,2005,Racing,Take-Two Interactive,0.01,0,0,0
6520,CSI: Hard Evidence,X360,2007,Adventure,Ubisoft,0.07,0.02,0,0.01
6521,Juusanshi Engi Engetsu Sangokuden 2,PSP,2014,Action,Idea Factory,0,0,0.02,0
6522,Puppet Show 3: Lost Town,PC,2011,Puzzle,Focus Home Interactive,0,0.02,0,0
6523,Worms World Party,GBA,2002,Strategy,Ubisoft,0.04,0.01,0,0
6524,The Dukes of Hazzard: Return of the General Lee,PS2,2004,Racing,Ubisoft,0.11,0.08,0,0.03
6525,Summer Athletics,PC,2008,Sports,DTP Entertainment,0,0.01,0,0
6526,Minna de Dokusho: Keatai Shousetsu Desu,PSP,2008,Misc,Dorart,0,0,0.02,0
6527,Sonic Colors,Wii,2010,Platform,Sega,0.96,0.61,0.01,0.16
6528,Mario Party 9,Wii,2012,Misc,Nintendo,1.15,1.17,0.76,0.24
6529,Digger Simulator,PC,2011,Simulation,Excalibur Publishing,0,0.01,0,0
6530,Point Blank,PS,1997,Shooter,Sony Computer Entertainment,0.05,0.03,0.23,0.02
6531,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01
6532,Zoo Tycoon: Complete Collection,PC,2003,Strategy,Microsoft Game Studios,0.03,0.02,0,0.01
6533,Forever Kingdom,PS2,2001,Role-Playing,From Software,0.02,0.02,0.04,0.01
6534,Let's Play Ballerina,Wii,2010,Sports,Deep Silver,0.02,0,0,0
6535,Championship Manager 99/00,PC,1999,Sports,Eidos Interactive,0,0.98,0,0.09
6536,Spore Galactic Adventures,PC,2009,Strategy,Electronic Arts,0,0.01,0,0
6537,New Interpretation Stranger of Sword City,PSV,2016,Role-Playing,Experience Inc.,0,0,0.01,0
6538,Dreamer Series: Puppy Trainer,DS,2008,Simulation,DreamCatcher Interactive,0.05,0,0,0
6539,Inazuma Eleven Strikers 2012 Xtreme,Wii,2011,Role-Playing,Level 5,0,0,0.19,0
6540,Winning Post 8 2015,PS3,2015,Action,Tecmo Koei,0,0,0.02,0
6541,Mobile Suit Gundam Side Story I: Senritsu no Blue,SAT,1996,Shooter,Namco Bandai Games,0,0,0.28,0
6542,Doukyuusei 2,SAT,1997,Role-Playing,NEC Interchannel,0,0,0.13,0
6543,HOP,DS,2011,Platform,505 Games,0.09,0.01,0,0.01
6544,Wizardry XTH: Unlimited Students,PS2,2006,Role-Playing,Michaelsoft,0,0,0.01,0
6545,Jam Sessions 2,DS,2009,Misc,Ubisoft,0.06,0,0,0
6546,Kousoku Card Battle: Card Hero,DS,2007,Strategy,Nintendo,0,0,0.11,0
6547,The King of Fighters '95,NG,1995,Fighting,SNK,0,0,0.2,0
6548,F1 Career Challenge,PS2,2003,Racing,Electronic Arts,0.05,0.04,0,0.01
6549,Dementium II,DS,2010,Shooter,SouthPeak Games,0.09,0.02,0,0.01
6550,Gakken DS: Shin TOEIC Test Kanzen Kouryaku,DS,2007,Misc,Gakken,0,0,0.02,0
6551,Battlefield: Bad Company 2,PC,2010,Shooter,Electronic Arts,0.19,0.53,0,0
6552,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,2015,Misc,Namco Bandai Games,0,0,0.03,0
6553,The Bombing Islands,PS,1997,Platform,Kemco,0.08,0.05,0,0.01
6554,Tomb Raider III: Adventures of Lara Croft,PC,1998,Action,Eidos Interactive,0.59,0.03,0,0
6555,Backyard Soccer,PS,2001,Sports,Infogrames,0.07,0.05,0,0.01
6556,Motto NUGA-CEL!,PSP,2010,Adventure,Idea Factory,0,0,0.02,0
6557,Scene It? Lights Camera Action,X360,2007,Misc,Microsoft Game Studios,0.43,0.02,0,0.04
6558,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,0.03,0.03,0,0.01
6559,Harukanaru Augusta 2: Masters,SNES,1993,Sports,T&E Soft,0,0,0.12,0
6560,Desktop Tower Defense,DS,2009,Strategy,THQ,0.11,0,0,0.01
6561,Jumping Flash! 2,PS,1996,Platform,Sony Computer Entertainment,0.05,0.03,0.15,0.02
6562,Goldeneye 007: Reloaded,X360,2011,Shooter,Activision,0.25,0.21,0,0.05
6563,Lucian Bee's: Resurrection Supernova,PS2,2009,Adventure,5pb,0,0,0.01,0
6564,Super Heroine Chronicle,PS3,2014,Role-Playing,Namco Bandai Games,0,0,0.03,0
6565,Pinball Tycoon,GBA,2002,Misc,Ignition Entertainment,0.03,0.01,0,0
6566,Littlest Pet Shop 3: Biggest Stars - Blue / Pink / Purple Team,DS,2010,Simulation,Electronic Arts,0.5,0,0,0.03
6567,Xblaze: Lost Memories,PS3,2015,Adventure,Arc System Works,0.01,0,0,0
6568,FIFA Soccer 2002,PS2,2001,Sports,Electronic Arts,0.31,0.24,0,0.08
6569,Backyard NBA Basketball,PS2,2003,Sports,Atari,0.29,0.22,0,0.07
6570,Medarot: Kabuto / Kuwagata Version,GB,1997,Role-Playing,Imagineer,0,0,0.4,0
6571,Dream Club Zero Portable,PSV,2011,Simulation,D3Publisher,0,0,0.03,0
6572,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono,PS2,2009,Misc,D3Publisher,0,0,0.06,0
6573,Gretzky NHL 2005,PS2,2004,Sports,Sony Computer Entertainment,0.08,0.07,0,0.02
6574,Dragon Ball Z: Shin Butouden,SAT,1995,Fighting,Namco Bandai Games,0,0,0.09,0
6575,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2006,Misc,Nintendo,0,0,1.71,0
6576,Sega Ages 2500 Series Vol. 26: Dynamite Deka,PS2,2006,Action,Sega,0,0,0.02,0
6577,Brothers in Arms: Double Time,Wii,2008,Shooter,Ubisoft,0.11,0,0,0.01
6578,L.A. Rush,XB,2005,Racing,Midway Games,0.11,0.03,0,0.01
6579,Epidemic,PS,1995,Shooter,Sony Computer Entertainment,0.02,0.01,0.1,0.01
6580,Top Gun: Fire at Will!,PS,1996,Misc,Microprose,0.3,0.21,0,0.04
6581,Hyakki Yagyou Kaidan Romance,PSP,2012,Action,Quinrose,0,0,0.01,0
6582,Kenka Banchou 4: Ichinen Sensou,PSP,2010,Action,Spike,0,0,0.19,0
6583,XGRA: Extreme G Racing Association,GC,2003,Racing,Acclaim Entertainment,0.02,0,0,0
6584,Destruction Derby Arenas,PS2,2004,Racing,Sony Computer Entertainment,0.06,0.05,0,0.02
6585,Steambot Chronicles: Battle Tournament,PSP,2008,Fighting,Irem Software Engineering,0.05,0,0.01,0
6586,Mushroom Men: Rise of the Fungi,DS,2008,Action,SouthPeak Games,0.1,0,0,0.01
6587,Downhill Domination,PS2,2003,Racing,Codemasters,0.23,0.18,0,0.06
6588,World Stadium 4,PS,2000,Sports,Namco Bandai Games,0,0,0.15,0.01
6589,Rabbids Party Collection,Wii,2010,Misc,Ubisoft,0,0.16,0,0.02
6590,Sengoku Otome: Legend Battle,PSV,2016,Action,Sony,0,0,0.02,0
6591,WipEout Pulse,PS2,2009,Racing,Sony Computer Entertainment,0,0.15,0,0.33
6592,Obscure,PS2,2004,Adventure,Microids,0.03,0.03,0,0.01
6593,Tennis no Oji-Sama: Card Hunter,PS2,2007,Strategy,Konami Digital Entertainment,0,0,0.02,0
6594,Junjou Romanchika: Koi no Doki Doki Daisakusen,PS2,2008,Adventure,Marvelous Interactive,0,0,0.01,0
6595,Trollz: Hair Affair!,GBA,2005,Misc,Ubisoft,0.03,0.01,0,0
6596,Shining Force III: Scenario 2,SAT,1998,Strategy,Sega,0,0,0.05,0
6597,Super Robot Wars OG: The Moon Dwellers,PS3,2016,Misc,Namco Bandai Games,0,0,0.06,0
6598,Period Cube: Torikago no Amadeus,PSV,2016,Action,Idea Factory,0,0,0.01,0
6599,UNO 52,DS,2006,Misc,Zoo Digital Publishing,0.01,0,0,0
6600,God of War Saga,PS3,2012,Action,Sony Computer Entertainment,0.72,0,0,0.06
6601,Enkaku Sousa: Sana e no 23 Hiai,PSP,2009,Adventure,Sony Computer Entertainment,0,0,0.02,0
6602,Championship Manager 03/04,PC,2003,Sports,Eidos Interactive,0,1.15,0,0.11
6603,Medarot DS: Kabuto / Kuwagata Ver.,DS,2010,Role-Playing,Rocket Company,0,0,0.12,0
6604,The Incredible Hulk: The Pantheon Saga,PS,1996,Action,Eidos Interactive,0.09,0.06,0,0.01
6605,Babysitting Mania,DS,2008,Simulation,Majesco Entertainment,0.24,0,0,0.02
6606,Shonen Jump's Shaman King: Legacy of the Spirits - Soaring Hawk/Sprinting Wolf,GBA,2005,Action,Konami Digital Entertainment,0.04,0.02,0,0
6607,Yuusha Shisu.,PSV,2016,Role-Playing,Nippon Ichi Software,0,0,0.02,0
6608,Final Fantasy XI: Wings of the Goddess,X360,2007,Role-Playing,Square Enix,0.25,0,0.02,0.02
6609,Galileo,DS,2008,Adventure,D3Publisher,0,0,0.03,0
6610,Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011,Action,Namco Bandai Games,0,0,0.22,0
6611,Shin Hayarigami 2,PSV,2016,Adventure,Nippon Ichi Software,0,0,0.01,0
6612,Fatal Fury: Battle Archives Volume 1,PS2,2006,Fighting,Ignition Entertainment,0.02,0.01,0,0
6613,Friend Collection,DS,2009,Misc,Nintendo,0,0,3.67,0
6614,Reloaded,PS,1996,Action,Gremlin Interactive Ltd,0.09,0.06,0,0.01
6615,Famista '91,NES,1990,Sports,Namco Bandai Games,0,0,0.3,0
6616,Roadsters 99,N64,1999,Racing,Titus,0.06,0.13,0,0.01
6617,Arc the Lad III,PS,1999,Role-Playing,Sony Computer Entertainment,0,0,0.39,0.03
6618,My Japanese Coach,DS,2008,Misc,Ubisoft,0.25,0,0,0.02
6619,Final Fantasy Chronicles,PS,2001,Role-Playing,Square,0.29,0.2,0,0.03
6620,Digimon World: Next Order,PSV,2016,Action,Namco Bandai Games,0,0,0.09,0
6621,Tekken 3D: Prime Edition,3DS,2012,Fighting,Nintendo,0.06,0.08,0.05,0.01
6622,Emergency Heroes,Wii,2008,Racing,Ubisoft,0.15,0.27,0,0.06
6623,Monster Hunter Frontier Online: Season 10,X360,2011,Role-Playing,Capcom,0,0,0.03,0
6624,Heroes of the Pacific,PC,2005,Simulation,Codemasters,0,0.02,0,0
6625,Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001,Fighting,Capcom,0,0,0.12,0
6626,Beyblade G-Revolution,GBA,2004,Action,Atari,0.15,0.05,0,0
6627,"Iza, Shutsujin! Koisen",PSP,2011,Adventure,Quinrose,0,0,0.01,0
6628,Keroro RPG: Kishi to Musha to Densetsu no Kaizoku,DS,2010,Role-Playing,Namco Bandai Games,0,0,0.07,0
6629,Woody Woodpecker Racing,PS,1999,Racing,Konami Digital Entertainment,0.06,0.04,0,0.01
6630,Bentley's Hackpack,GBA,2005,Misc,Sony,0.67,0.25,0,0.02
6631,Winter Blast: 9 Snow & Ice Games,Wii,2010,Sports,Destineer,0.02,0,0,0
6632,Wing Commander IV: The Price of Freedom,PS,1997,Simulation,Origin Systems,0.05,0.03,0,0.01
6633,Growlanser VI: Precarious World,PS2,2007,Role-Playing,Atlus,0,0,0.05,0
6634,Vin Diesel: Wheelman,X360,2009,Racing,Ubisoft,0.24,0.17,0,0.05
6635,S.Y.K: Shinsetsu Saiyuuki Portable,PSP,2010,Adventure,Idea Factory,0,0,0.01,0
6636,Payout Poker & Casino,PSP,2006,Misc,Namco Bandai Games,0.02,0,0,0
6637,God Eater 2,PSV,2013,Role-Playing,Namco Bandai Games,0,0,0.45,0
6638,Uprising X,PS,1998,Action,3DO,0.04,0.03,0,0
6639,Luxor 3,Wii,2008,Puzzle,Mumbo Jumbo,0.16,0,0,0.01
6640,Air Conflicts: Secret Wars,X360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01
6641,Shadowgate 64: Trials of the Four Towers,N64,1999,Adventure,Kemco,0.06,0.01,0,0
6642,DS Nishimura Kyotaro Suspense 2 Shin Tantei Series: Kanazawa Hakodate - Gokkan no Kyoukoku - Fukushuu no Kage,DS,2008,Adventure,Tecmo Koei,0,0,0.07,0
6643,Samurai & Dragons,PSV,2012,Action,Sega,0,0,0.02,0
6644,Truck Racer,Wii,2009,Racing,Nordic Games,0,0.01,0,0
6645,Micro Machines V3,PS,1997,Racing,Codemasters,0.06,0.04,0,0.01
6646,Game Party in Motion,X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0,0.05
6647,Mario & Luigi: Partners in Time,DS,2005,Role-Playing,Nintendo,0.77,0.07,0.43,0.08
6648,Fight Night Round 4,PS3,2009,Fighting,Electronic Arts,0.92,0.41,0,0.21
6649,Little Battlers eXperience: Wars,3DS,2013,Strategy,Level 5,0,0,0.13,0
6650,Art of Fighting 3: The Path of the Warrior,NG,1996,Fighting,SNK,0,0,0.04,0
6651,Hannah Montana,DS,2006,Action,Disney Interactive Studios,1.59,0.8,0,0.26
6652,From TV Animation One Piece: Grand Battle 2,PS,2002,Fighting,Namco Bandai Games,0,0,0.56,0.04
6653,Penguins of Madagascar,WiiU,2014,Action,Namco Bandai Games,0.01,0.02,0,0
6654,Hanaoni: Yume no Tsudzuki,PSP,2012,Action,Idea Factory,0,0,0.04,0
6655,Burstrick: Wake Boarding!!,PS,2000,Sports,Natsume,0.15,0.1,0,0.02
6656,Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,PS3,2013,Simulation,Namco Bandai Games,0,0,0.04,0
6657,Olympic Summer Games: Atlanta 1996,PS,1996,Sports,U.S. Gold,0.06,0.04,0,0.01
6658,Showtime Championship Boxing,Wii,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0.01
6659,Uncharted: Golden Abyss,PSV,2011,Shooter,Sony Computer Entertainment,0.59,0.75,0.13,0.27
6660,Shinseiki Evangelion- Eva: Yukai na Nakama Tachi,PS,1998,Misc,Gainax Network Systems,0,0,0.05,0
6661,Cradle of Rome,DS,2008,Puzzle,Rising Star Games,0.06,0.16,0,0.03
6662,7 Wonders II,DS,2009,Puzzle,Rondomedia,0.14,0.15,0,0.03
6663,I Don't Have Many Friends Portable,PSP,2012,Adventure,Namco Bandai Games,0,0,0.07,0
6664,Reload: Target Down,Wii,2010,Shooter,Mastiff,0.25,0,0,0.02
6665,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PSP,2009,Strategy,Namco Bandai Games,0,0,0.07,0
6666,Roary the Racing Car,DS,2009,Misc,Avanquest,0,0.08,0,0.01
6667,Yu-Gi-Oh! 5D's Wheelie Breakers,Wii,2009,Racing,Konami Digital Entertainment,0.09,0.01,0,0.01
6668,FIFA Soccer 11,PS2,2010,Sports,Electronic Arts,0.11,0.29,0,0.36
6669,Xenoblade Chronicles X,WiiU,2015,Role-Playing,Nintendo,0.36,0.28,0.14,0.06
6670,Pikmin,GC,2001,Strategy,Nintendo,0.78,0.25,0.56,0.04
6671,UEFA Euro 2016,PS3,2016,Sports,Konami Digital Entertainment,0,0.08,0.02,0.01
6672,Tiger Woods PGA Tour 14,PS3,2013,Sports,Electronic Arts,0.16,0.15,0,0.07
6673,Street Fighter Alpha 3,GBA,2002,Fighting,Capcom,0.11,0.04,0,0
6674,Yu Yu Hakusho Ghost Files: Spirit Detective,GBA,2003,Action,Atari,0.21,0.08,0,0.01
6675,Condemned 2: Bloodshot,PS3,2008,Action,Sega,0.17,0.16,0,0.07
6676,Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,PS3,2010,Adventure,Alchemist,0,0,0.02,0
6677,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72
6678,SimCity DS,DS,2007,Simulation,Electronic Arts,0.33,0.03,0.21,0.03
6679,Samurai Warriors Chronicles 2nd,3DS,2012,Action,Ubisoft Annecy,0,0,0.1,0
6680,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0,0
6681,Ozzy & Drix,GBA,2003,Platform,Midway Games,0.01,0,0,0
6682,Lips: Number One Hits,X360,2009,Misc,Microsoft Game Studios,0.15,0.35,0,0.07
6683,NASCAR 2011: The Game,X360,2011,Racing,Activision,0.29,0,0,0.02
6684,LEGO Friends,3DS,2013,Action,Warner Bros. Interactive Entertainment,0,0.04,0,0
6685,Nostalgia,DS,2008,Role-Playing,Tecmo Koei,0.16,0,0.02,0.01
6686,Exhibition Volume 02,XB,2003,Misc,Microsoft Game Studios,0.13,0.04,0,0.01
6687,Ys: The Ark of Napishtim,PSP,2006,Role-Playing,Konami Digital Entertainment,0.04,0,0,0
